title,href,area,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,2009,2010,2011,2012,2013,2014,2015,2016
室内设计,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AE%A4%E5%86%85%E8%AE%BE%E8%AE%A1/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3490,6530,7800,10730,14580,,3077,3124,4048,4112,4355,6316,7136,7563
工程项目经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B7%A5%E7%A8%8B%E9%A1%B9%E7%9B%AE%E7%BB%8F%E7%90%86/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",6950,9420,11330,12070,,,5499,4788,9045,7129,7348,9816,9869,9104
消防中控员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%B6%88%E9%98%B2%E4%B8%AD%E6%8E%A7%E5%91%98/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3100,3390,3750,3370,,,1706,2192,2603,2535,2644,2927,3090,3282
招商经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E5%95%86%E7%BB%8F%E7%90%86/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",4650,8760,9540,11930,14400,,4253,4275,5798,6375,6775,8681,9572,9876
方案设计师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%B9%E6%A1%88%E8%AE%BE%E8%AE%A1%E5%B8%88/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",7340,8280,9160,11020,,,3874,5149,7127,6040,8124,10121,8818,8805
物业经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%89%A9%E4%B8%9A%E7%BB%8F%E7%90%86/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",7020,8450,8950,11280,,,4911,4537,6370,6159,5695,7531,9080,9804
中控员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%B8%AD%E6%8E%A7%E5%91%98/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3240,3430,3750,3370,,,1657,2155,2485,2501,2766,2983,3061,3293
保安员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BF%9D%E5%AE%89%E5%91%98/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",2580,3300,3770,,,,1314,1878,2219,2569,2941,2878,3085,3423
客服助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AE%A2%E6%9C%8D%E5%8A%A9%E7%90%86/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",4190,4390,7000,,,,2043,2326,2607,3192,3505,3686,4295,4603
工装设计师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B7%A5%E8%A3%85%E8%AE%BE%E8%AE%A1%E5%B8%88/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3030,7250,7560,9200,11950,,3342,2785,3706,4791,4384,6626,6196,7606
暖通设计师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%9A%96%E9%80%9A%E8%AE%BE%E8%AE%A1%E5%B8%88/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3750,6460,7480,12120,15540,,2500,5610,6132,6130,5175,7877,7655,7785
物业项目经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%89%A9%E4%B8%9A%E9%A1%B9%E7%9B%AE%E7%BB%8F%E7%90%86/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",5250,8370,9710,10870,,,6999,5499,7449,5666,5666,11342,9415,11119
结构设计工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BB%93%E6%9E%84%E8%AE%BE%E8%AE%A1%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",7590,9660,12600,14220,,,3099,4112,6194,5587,6597,7137,9602,10471
给排水工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BB%99%E6%8E%92%E6%B0%B4%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",4230,6640,7500,8900,10160,,4665,4142,6152,6140,6930,7293,8126,8341
保安,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BF%9D%E5%AE%89/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3050,3420,5090,7330,6200,,1543,2322,2734,2734,3210,3191,3327,4020
室内设计师助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AE%A4%E5%86%85%E8%AE%BE%E8%AE%A1%E5%B8%88%E5%8A%A9%E7%90%86/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3170,4430,4580,17500,,,1500,3249,4249,2799,3142,3360,4487,4265
置业顾问,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BD%AE%E4%B8%9A%E9%A1%BE%E9%97%AE/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",7930,6930,7000,7580,,,3582,3073,3977,5718,5851,6699,7993,8122
技术员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8A%80%E6%9C%AF%E5%91%98/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",4300,4890,5520,7270,7180,,2426,2492,3494,3382,3756,4167,4611,5214
机械工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%9C%BA%E6%A2%B0%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",5060,6700,8000,9360,10920,,3723,3249,4421,5062,4966,6869,7707,8144
结构设计师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BB%93%E6%9E%84%E8%AE%BE%E8%AE%A1%E5%B8%88/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3120,7500,7950,10150,15530,,2704,3970,6901,6165,6511,11723,7769,7465
客服主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AE%A2%E6%9C%8D%E4%B8%BB%E7%AE%A1/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3730,5980,6180,6960,7700,,2918,2795,4077,4023,4722,4770,6294,7043
策划经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%AD%96%E5%88%92%E7%BB%8F%E7%90%86/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",7350,9360,11520,13250,15600,,5733,5020,7343,6754,7346,9573,11314,11313
造价员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%80%A0%E4%BB%B7%E5%91%98/,"
建筑/房地产/装饰装修/物业管理类

♦
♦

",3970,5070,6190,5020,8060,,2178,4241,4777,4503,4889,5688,6150,6132
文案策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%87%E6%A1%88%E7%AD%96%E5%88%92/,"
市场/公关/媒介类

♦
♦

",4300,6430,7860,10700,12200,,3159,3096,4234,4354,4469,5254,7174,7340
市场专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",5040,5840,6440,9070,13570,,3178,2923,3943,4308,5147,5316,5812,6174
产品经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",5330,10760,15800,16790,20880,,5108,5464,8013,7760,8273,11715,15475,15253
文案,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%87%E6%A1%88/,"
市场/公关/媒介类

♦
♦

",4390,6300,7690,10940,11990,,3016,3042,4114,4245,4364,5065,7062,7140
市场助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E5%8A%A9%E7%90%86/,"
市场/公关/媒介类

♦
♦

",4150,5320,5820,9470,15290,,3262,3020,3489,4328,5359,5156,4896,5541
产品专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%A7%E5%93%81%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",5480,6800,7660,9880,6560,,3092,4372,4038,4337,5043,5915,7088,6768
品牌经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%93%81%E7%89%8C%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",5000,10320,12500,14680,17730,,5537,5631,7295,7074,7444,7540,12126,11960
文案编辑,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%87%E6%A1%88%E7%BC%96%E8%BE%91/,"
市场/公关/媒介类

♦
♦

",3780,5950,6980,7920,9290,,2213,2765,3409,3804,4139,4413,6162,6250
策划经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%AD%96%E5%88%92%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",7350,9360,11520,13250,15600,,5733,5020,7343,6754,7346,9573,11314,11313
市场经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",5770,8180,11030,12980,15690,,5170,4900,6572,6619,6845,7632,10795,10482
产品助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%A7%E5%93%81%E5%8A%A9%E7%90%86/,"
市场/公关/媒介类

♦
♦

",5210,6080,7510,14520,12500,,2749,2596,3543,3986,5238,5299,6409,6360
市场策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E7%AD%96%E5%88%92/,"
市场/公关/媒介类

♦
♦

",4390,6770,9200,12050,15940,,4094,4187,5401,4806,5160,6742,8307,8475
新媒体运营,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%B0%E5%AA%92%E4%BD%93%E8%BF%90%E8%90%A5/,"
市场/公关/媒介类

♦
♦

",3930,6900,8340,12760,17040,,5249,8999,10599,5000,4332,6326,7454,7535
客户经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AE%A2%E6%88%B7%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",6460,7850,9810,13480,14830,,5696,3867,5139,5744,6878,7515,8481,8592
活动策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%B4%BB%E5%8A%A8%E7%AD%96%E5%88%92/,"
市场/公关/媒介类

♦
♦

",4340,6930,8700,14630,15510,,3385,3280,4757,4584,4949,7315,7893,7895
市场企划专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E4%BC%81%E5%88%92%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",6440,5560,6920,,,,4457,3318,4018,3962,4410,4566,5317,6079
企划经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BC%81%E5%88%92%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",3750,8640,10580,12380,13970,,5433,6071,6962,7091,6517,10622,11209,10834
资深文案,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%B5%84%E6%B7%B1%E6%96%87%E6%A1%88/,"
市场/公关/媒介类

♦
♦

",8550,10480,12210,15580,,,4666,5915,6599,6030,6954,7446,9934,10269
平面设计,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B9%B3%E9%9D%A2%E8%AE%BE%E8%AE%A1/,"
市场/公关/媒介类

♦
♦

",4040,6110,7780,10020,11940,,2588,2295,3588,3877,4119,4716,7096,7098
市场主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E4%B8%BB%E7%AE%A1/,"
市场/公关/媒介类

♦
♦

",6330,7260,8730,9930,13490,,4024,6002,5067,5504,6947,6189,8543,8145
市场总监,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E6%80%BB%E7%9B%91/,"
市场/公关/媒介类

♦
♦

",17500,9880,16350,17070,23720,,8653,7411,10390,10312,10525,10995,16692,16156
资深文案策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%B5%84%E6%B7%B1%E6%96%87%E6%A1%88%E7%AD%96%E5%88%92/,"
市场/公关/媒介类

♦
♦

",7740,10020,13940,15280,,,4666,2999,6041,6010,7499,8082,9664,10043
企划专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BC%81%E5%88%92%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",5660,5580,6240,23330,6000,,3276,3370,4152,4193,4384,4632,5402,5873
创意文案,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%88%9B%E6%84%8F%E6%96%87%E6%A1%88/,"
市场/公关/媒介类

♦
♦

",3830,7490,8330,12500,,,4199,3123,4819,4478,4631,4999,8199,7617
策划专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%AD%96%E5%88%92%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",4900,6450,7080,8770,14290,,3424,3294,4002,4038,5059,5523,6497,6432
策划文案,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%AD%96%E5%88%92%E6%96%87%E6%A1%88/,"
市场/公关/媒介类

♦
♦

",4300,6430,7860,10700,12200,,3159,3096,4234,4354,4469,5254,7174,7340
市场推广专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E6%8E%A8%E5%B9%BF%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",5360,5800,6550,12500,,,3386,2794,3893,4812,4315,5419,5882,6033
市场策划专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E7%AD%96%E5%88%92%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",5810,6420,7160,9000,17560,,3061,3742,4127,3603,5028,5345,6410,6503
市场部经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E9%83%A8%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",5330,7600,10240,11140,13150,,5027,4024,6297,6705,6153,7510,10533,10266
广告客户经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B9%BF%E5%91%8A%E5%AE%A2%E6%88%B7%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",5500,8810,9510,11300,9000,,5924,3853,4006,4831,5380,5874,8339,8444
文案专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%87%E6%A1%88%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",5170,6140,6540,7830,,,4349,3699,4548,3672,4598,4624,6038,6163
策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%AD%96%E5%88%92/,"
市场/公关/媒介类

♦
♦

",4250,6980,8890,12870,16120,,3485,3258,5102,4920,5180,6605,7841,8235
项目经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%A1%B9%E7%9B%AE%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",5330,8310,11080,13550,15180,,5476,5191,7184,7216,7631,9289,11296,11187
媒介经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%AA%92%E4%BB%8B%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",4560,8700,11130,14350,15850,,4603,4732,5722,5772,5734,6451,10341,10614
新媒体运营专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%B0%E5%AA%92%E4%BD%93%E8%BF%90%E8%90%A5%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",4410,6350,6750,10220,,,2374,2804,3734,3979,4387,4052,6473,6438
运营专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%BF%90%E8%90%A5%E4%B8%93%E5%91%98/,"
市场/公关/媒介类

♦
♦

",4750,5890,6920,10090,13270,,3049,3027,3915,3832,4424,4879,6002,6180
销售助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%94%80%E5%94%AE%E5%8A%A9%E7%90%86/,"
市场/公关/媒介类

♦
♦

",4470,4850,5450,6690,18330,,2238,3056,2984,3806,5066,5150,4772,5422
市场文案策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E6%96%87%E6%A1%88%E7%AD%96%E5%88%92/,"
市场/公关/媒介类

♦
♦

",5250,6760,8440,9000,17500,,3499,4249,4360,4085,3562,5856,7320,7645
市场策划经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E7%AD%96%E5%88%92%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",8000,10730,11230,12570,14330,,5589,4615,7635,6543,6612,7271,10810,10703
市场部助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E9%83%A8%E5%8A%A9%E7%90%86/,"
市场/公关/媒介类

♦
♦

",3850,4980,5200,5500,33330,,3021,2804,3220,4021,3780,3808,4608,4861
平面设计师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B9%B3%E9%9D%A2%E8%AE%BE%E8%AE%A1%E5%B8%88/,"
市场/公关/媒介类

♦
♦

",4220,6670,8320,9980,11350,,2871,3159,4225,4380,4637,5198,7485,7614
品牌总监,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%93%81%E7%89%8C%E6%80%BB%E7%9B%91/,"
市场/公关/媒介类

♦
♦

",7000,9280,16480,17280,23100,,21874,4249,17749,10566,12367,20809,16240,15970
品牌策划,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%93%81%E7%89%8C%E7%AD%96%E5%88%92/,"
市场/公关/媒介类

♦
♦

",1750,7610,10240,13100,18380,,3499,3803,5952,5429,5645,6843,10054,8974
市场企划主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E4%BC%81%E5%88%92%E4%B8%BB%E7%AE%A1/,"
市场/公关/媒介类

♦
♦

",5980,8210,11940,12000,,,4561,4299,5124,5807,6061,6030,7164,7544
策划总监,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%AD%96%E5%88%92%E6%80%BB%E7%9B%91/,"
市场/公关/媒介类

♦
♦

",8570,14000,16510,18060,,,6818,4903,10627,9476,10212,16487,13774,14987
市场推广,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B8%82%E5%9C%BA%E6%8E%A8%E5%B9%BF/,"
市场/公关/媒介类

♦
♦

",4730,6240,8520,13770,17590,,3249,3455,4438,4569,4471,5575,7071,7288
广告销售经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B9%BF%E5%91%8A%E9%94%80%E5%94%AE%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",6500,8870,11170,13160,25090,,3916,3635,5994,5023,6099,6976,9720,9463
文案策划主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%96%87%E6%A1%88%E7%AD%96%E5%88%92%E4%B8%BB%E7%AE%A1/,"
市场/公关/媒介类

♦
♦

",9370,9560,9000,11100,,,5943,5249,5749,5274,5749,8099,8904,8937
高级客户经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E5%AE%A2%E6%88%B7%E7%BB%8F%E7%90%86/,"
市场/公关/媒介类

♦
♦

",7710,8670,11210,13340,17000,,6889,5518,6962,7195,7693,7845,10374,10848
招聘专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E8%81%98%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",4460,5350,6250,8160,8790,,,,,,,,,
人事专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E4%BA%8B%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",4180,4820,5220,6570,5830,,2597,2870,3238,3284,3943,4185,4688,5172
人力资源经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E5%8A%9B%E8%B5%84%E6%BA%90%E7%BB%8F%E7%90%86/,"
人力资源类

♦
♦

",8010,10130,12040,13550,,,5978,5397,6748,6894,5905,7654,10790,10288
招聘主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E8%81%98%E4%B8%BB%E7%AE%A1/,"
人力资源类

♦
♦

",5000,6780,8300,8490,10680,,,,,,,,,
人力资源专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E5%8A%9B%E8%B5%84%E6%BA%90%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",4230,5210,5830,6680,9170,,3183,2816,3651,3836,4963,4374,5095,5553
人事主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E4%BA%8B%E4%B8%BB%E7%AE%A1/,"
人力资源类

♦
♦

",4800,6180,6880,7800,8470,,3238,3436,4304,4414,4499,5608,6516,6849
人事经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E4%BA%8B%E7%BB%8F%E7%90%86/,"
人力资源类

♦
♦

",4420,7070,8840,9890,11210,,4430,3063,5196,5196,5536,5847,8850,8813
人力资源主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E5%8A%9B%E8%B5%84%E6%BA%90%E4%B8%BB%E7%AE%A1/,"
人力资源类

♦
♦

",7110,7610,8330,10140,,,3382,3440,4938,5006,5510,5369,7859,7827
人事行政专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E4%BA%8B%E8%A1%8C%E6%94%BF%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",3590,4700,5070,6120,3750,,2832,2499,3265,3074,3378,3514,4511,4784
招聘经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E8%81%98%E7%BB%8F%E7%90%86/,"
人力资源类

♦
♦

",7120,8020,10360,12680,14530,,,,,,,,,
培训主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%9F%B9%E8%AE%AD%E4%B8%BB%E7%AE%A1/,"
人力资源类

♦
♦

",4500,7120,8560,8860,9380,,4290,3258,5181,5179,6794,6245,8143,8130
培训专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%9F%B9%E8%AE%AD%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",5160,5820,6480,8510,11560,,2455,3073,3802,4390,5642,5946,5753,6288
培训经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%9F%B9%E8%AE%AD%E7%BB%8F%E7%90%86/,"
人力资源类

♦
♦

",5940,8750,10820,13490,15890,,5466,3050,6431,6191,7468,6434,8806,8750
人力资源总监,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E5%8A%9B%E8%B5%84%E6%BA%90%E6%80%BB%E7%9B%91/,"
人力资源类

♦
♦

",15800,15630,15390,20220,21220,,8280,2166,10445,15049,12061,17293,18009,15951
人事行政经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E4%BA%8B%E8%A1%8C%E6%94%BF%E7%BB%8F%E7%90%86/,"
人力资源类

♦
♦

",5250,6540,8900,9390,11000,,3082,3061,6209,6392,5253,7719,9563,9135
人事行政主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E4%BA%8B%E8%A1%8C%E6%94%BF%E4%B8%BB%E7%AE%A1/,"
人力资源类

♦
♦

",5880,6770,7670,8880,,,3165,3912,4315,4417,4463,4828,6534,6685
hrbp,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-hrbp/,"
人力资源类

♦
♦

",3250,8120,10450,14660,16380,,,,,,,,,
行政人事专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%A1%8C%E6%94%BF%E4%BA%BA%E4%BA%8B%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",3630,4620,5100,5550,5250,,2424,2908,3181,3199,3982,4140,4473,4862
人事助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E4%BA%8B%E5%8A%A9%E7%90%86/,"
人力资源类

♦
♦

",3820,4610,5110,7340,12000,,2454,2634,3314,3317,4177,4394,4225,5233
高级招聘专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E6%8B%9B%E8%81%98%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",6820,8380,8650,12500,,,,,,,,,,
培训讲师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%9F%B9%E8%AE%AD%E8%AE%B2%E5%B8%88/,"
人力资源类

♦
♦

",7260,7660,10180,10500,12460,,4201,3764,5274,5734,6346,6481,8358,8711
培训助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%9F%B9%E8%AE%AD%E5%8A%A9%E7%90%86/,"
人力资源类

♦
♦

",4290,5930,7330,8330,9500,,2336,2487,3470,4347,5681,5904,5778,6644
行政人事经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%A1%8C%E6%94%BF%E4%BA%BA%E4%BA%8B%E7%BB%8F%E7%90%86/,"
人力资源类

♦
♦

",5250,6320,8330,9520,10380,,3575,3388,5352,4925,5050,6023,8873,8492
薪酬绩效主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%96%AA%E9%85%AC%E7%BB%A9%E6%95%88%E4%B8%BB%E7%AE%A1/,"
人力资源类

♦
♦

",6380,8650,9060,11250,,,4499,4249,5666,5969,5399,6139,8136,8073
人力资源助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E5%8A%9B%E8%B5%84%E6%BA%90%E5%8A%A9%E7%90%86/,"
人力资源类

♦
♦

",3560,5070,5550,8440,10420,,2588,2958,3554,3964,5112,4995,4342,5601
招聘助理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E8%81%98%E5%8A%A9%E7%90%86/,"
人力资源类

♦
♦

",4200,5200,5500,19090,,,,,,,,,,
招聘培训主管,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8B%9B%E8%81%98%E5%9F%B9%E8%AE%AD%E4%B8%BB%E7%AE%A1/,"
人力资源类

♦
♦

",7050,7990,7980,8640,,,,,,,,,,
培训师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%9F%B9%E8%AE%AD%E5%B8%88/,"
人力资源类

♦
♦

",5040,7330,8890,12480,12860,,3736,3531,5270,5301,5478,6986,7782,8193
人力专员,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E5%8A%9B%E4%B8%93%E5%91%98/,"
人力资源类

♦
♦

",4210,5190,5830,6710,9170,,3175,2818,3587,5348,5412,4372,5066,5480
人力资源实习生,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E4%BA%BA%E5%8A%9B%E8%B5%84%E6%BA%90%E5%AE%9E%E4%B9%A0%E7%94%9F/,"
人力资源类

♦
♦

",2460,3240,2750,9000,,,,,,,,,,
