title,href,area,exp_0,exp_1,exp_2,exp_3,exp_4,exp_5,2009,2010,2011,2012,2013,2014,2015,2016
测试工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%B5%8B%E8%AF%95%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5480,8180,11040,14630,17190,,4005,4460,5418,5273,6109,7178,10015,9735
java高级开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-java%E9%AB%98%E7%BA%A7%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",11620,13130,17210,19110,20610,,7030,5534,9565,9368,10393,15008,17051,17368
java软件工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-java%E8%BD%AF%E4%BB%B6%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6900,9570,12530,17360,19260,,6099,5505,6705,7314,7776,7763,10553,9559
.net开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-.net%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6410,9390,11960,18940,18550,,,,,,,,,
web前端工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-web%E5%89%8D%E7%AB%AF%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",7330,10790,14250,19410,20880,,5649,5915,6675,6205,7604,9373,13169,12657
java高级工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-java%E9%AB%98%E7%BA%A7%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",12190,16320,19260,20660,,,7124,11332,9774,9478,10464,12813,16713,16895
php工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-php%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",4620,11120,15340,20100,21130,,5042,8117,6447,7671,8221,9430,14603,14757
高级软件工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E8%BD%AF%E4%BB%B6%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",4670,12570,14860,17420,18850,,8472,6184,9305,9931,10230,11399,14335,15115
项目经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%A1%B9%E7%9B%AE%E7%BB%8F%E7%90%86/,"
计算机/网络/技术类

♦
♦

",5330,8310,11080,13550,15180,,5476,5191,7184,7216,7631,9289,11296,11187
运维工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E8%BF%90%E7%BB%B4%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5030,7310,10910,15520,19170,,3999,2651,5045,4943,4871,6821,9925,9650
高级前端开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E5%89%8D%E7%AB%AF%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",12650,19370,21440,24730,,,5249,6999,11699,11879,9034,14087,18176,18374
嵌入式软件工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%B5%8C%E5%85%A5%E5%BC%8F%E8%BD%AF%E4%BB%B6%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",7290,10120,12100,16500,16180,,5944,5762,7256,7768,7356,7462,11011,11697
美工,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%BE%8E%E5%B7%A5/,"
计算机/网络/技术类

♦
♦

",4400,5890,7010,11070,10280,,2622,2886,3921,4051,4353,4823,6233,6279
c++开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-c%2B%2B%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",8160,10970,14840,17230,20110,,,,,,,,,
高级硬件工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E9%AB%98%E7%BA%A7%E7%A1%AC%E4%BB%B6%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",12170,13840,16280,18580,,,5968,10749,9505,10240,10207,10845,13194,13744
java研发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-java%E7%A0%94%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6280,10710,15500,19290,22190,,24999,6999,8660,7747,8200,9914,14891,14642
技术工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8A%80%E6%9C%AF%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",4750,6640,8690,10190,15050,,2871,2721,4146,4154,4640,5190,7121,7376
java软件开发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-java%E8%BD%AF%E4%BB%B6%E5%BC%80%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",7060,9540,12360,17310,18910,,5606,4249,6966,7492,6825,7310,9811,8306
技术支持,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E6%8A%80%E6%9C%AF%E6%94%AF%E6%8C%81/,"
计算机/网络/技术类

♦
♦

",4780,6170,7840,10150,12360,,2655,2394,3639,3929,4151,4587,6038,6996
移动产品经理,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%A7%BB%E5%8A%A8%E4%BA%A7%E5%93%81%E7%BB%8F%E7%90%86/,"
计算机/网络/技术类

♦
♦

",4500,13010,17640,19030,25040,,2062,4936,11062,12174,10447,16099,16774,17118
售后工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%94%AE%E5%90%8E%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",4620,5600,6960,8210,10750,,2484,2960,3772,3521,4067,4343,5801,6043
售前技术支持工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E5%94%AE%E5%89%8D%E6%8A%80%E6%9C%AF%E6%94%AF%E6%8C%81%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5270,6730,8910,9130,14500,,2665,2249,4308,4336,4792,4517,7312,7539
android工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-android%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",7000,11900,16120,19750,23650,,7822,7749,8952,8386,8597,11945,15245,15489
c++软件工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-c%2B%2B%E8%BD%AF%E4%BB%B6%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",6610,10310,12460,16460,18690,,,,,,,,,
研发工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-%E7%A0%94%E5%8F%91%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5660,10380,14850,17370,20150,,5481,5636,6752,7433,7829,10016,14895,13365
.net工程师,http://www.jobui.com/salary/%E5%8C%97%E4%BA%AC-.net%E5%B7%A5%E7%A8%8B%E5%B8%88/,"
计算机/网络/技术类

♦
♦

",5830,9330,11880,16690,18190,,5305,4741,6423,6887,7789,8234,11106,11344
